RCPT,RCRK
IMP1,VTP1,IMP2,VTP2,IMP3,BSAA,BSBA,BSCA,PYEA,BSFA,BSGA,PLHA,PRHA,PTHA,PFNA,PLNA,BSPA,BSSA,BSTA,PSTA,BSWA,PLBB,PRBB,RCCB,PLCB,PRCB,PLFB,PRFB,PKAC,RPAC,PACC,PMPC,PPRC,RCHD,RPHD,PUND,PSPD,PGHE,PPOE,PBRE,PEYE,TRAF,PPBF,PSTG,PBSH,PLSH,PRSH,RATH,PCTH,PLTH,PRTH,RIWH,PAGI,PRSI,PINJ,PBAK,PTAK,PPBK,PRBK,PNEK,PFLK,PFMK,RCRK,PTRK,PBTK,PTAL,PIBL,PLEL,PREL,PLKL,PSPL,PLSL,RCCM,PHLM,PHAN,PTEN,PLKN,PRKN,PLSO,RPGP,PTHP,PJMP,PTYP,PCAR,PSAR,PTAR,RICR,PJER,PLKR,RCPR,PKPR,PSPR,PLSR,PRTR,PSTR,POVR,PAWR,PLWR,PRWR,PRAS,PPBS,PRBS,PDIS,PVIS,RELS,PRNS,PPOS,PPRS,PYRS,BSAT,STAT,BSBT,SPCT,BSCT,BSFT,PHGT,BSGT,PWGT,PHIT,BSPT,PKRT,BSST,BSTT,BSWT,PBCV,PMCV,PZCV,PFMV,PJMV,PPMV,PSMV,RCOV,PESV,PBFW,PLHW,PLTW,
5,0,4,0,8,10,10,4,0,10,6,3,3,40,Will,Moore,8,6,10,83,0,0,0,5,0,0,0,0,40,0,86,0,63,8808,0,0,89,3,40,0,0,79,31,0,54,3,3,1,78,1,1,0,84,386,82,0,54,40,40,0,0,5,11,84,80,0,22,10,10,0,5,0,0,0,0,0,1,1,0,18,40,77,0,79,92,0,0,1,0,5,40,5,0,82,56,81,58,0,0,0,30,35,4,0,80,3,3,52,50,5,34,10,81,29,26,70,10,44,47,0,64,10,10,0,80,70,60,43,87,42,71,79,84,36,0,0,
12,0,4,0,10,8,10,5,0,10,7,3,3,84,Joel,Garrison,7,8,7,84,0,0,0,5,0,0,0,0,40,0,85,0,46,5423,0,0,88,203,40,0,0,58,42,0,16,3,3,1,67,1,1,0,80,2689,86,1,50,41,41,0,0,7,12,69,81,0,37,10,10,0,0,12,0,3,0,1,1,1,0,18,83,83,0,77,67,0,0,0,0,6,40,0,12,66,63,79,61,10,10,0,42,41,2,1,69,2,1,15,43,0,21,6,60,30,0,73,0,34,43,0,59,0,1,0,73,24,21,20,86,33,80,78,85,40,0,0,
4,0,8,0,11,6,10,7,0,10,6,3,3,40,Aaron,Weaver,5,10,10,90,0,0,0,5,3,3,0,0,40,0,91,0,37,8755,0,0,90,200,40,0,0,67,21,0,36,3,3,0,72,1,1,0,83,2580,88,1,58,40,40,0,0,1,13,44,62,0,32,16,16,0,0,10,0,0,0,1,1,1,0,3,40,96,0,95,47,0,0,0,0,5,40,0,10,88,47,77,54,0,0,0,21,21,0,0,70,3,3,31,45,0,34,6,69,29,0,73,0,37,39,5,60,10,10,0,72,30,31,32,65,32,45,78,79,21,0,0,
5,0,4,0,12,4,2,8,0,0,3,3,3,40,Travis,Hicks,4,3,2,74,0,0,0,5,0,0,0,0,40,0,74,0,79,8704,0,0,72,138,40,0,0,60,22,0,75,4,4,0,50,2,2,0,59,1501,83,0,85,64,63,0,0,36,14,37,40,0,67,2,2,0,5,0,0,3,0,2,2,2,0,8,40,63,0,40,17,0,0,1,0,1,40,5,0,63,84,79,41,0,0,0,22,32,3,0,61,1,10,81,54,21,34,21,36,8,20,77,16,97,80,0,43,10,16,0,26,66,72,87,32,77,23,81,28,32,0,0,
4,0,5,0,12,6,10,7,0,10,6,3,3,40,Cedric,Culp,5,10,10,82,0,2,2,5,1,1,0,0,40,0,88,0,36,1180,0,0,89,170,51,0,0,69,24,0,19,3,3,0,71,1,1,0,79,1389,81,1,51,40,40,0,0,15,15,62,67,0,29,0,0,0,0,12,0,2,0,0,1,1,0,3,40,89,0,90,47,0,0,0,0,6,40,0,12,77,57,74,62,0,0,0,23,36,5,0,76,1,3,28,43,0,4,6,72,29,0,75,0,35,36,5,68,10,10,0,85,22,24,25,54,36,43,76,56,36,0,0,
12,0,5,0,13,6,10,7,0,10,6,0,0,40,Isaac,McGee,5,10,10,84,0,0,0,5,1,1,0,0,40,0,82,0,79,10848,0,0,89,163,40,0,0,76,29,0,50,3,3,1,77,1,1,0,82,1235,82,1,72,40,40,0,0,5,16,59,69,0,24,0,0,0,0,0,0,2,0,0,1,1,0,18,40,76,0,93,54,0,0,1,0,7,40,0,0,82,47,77,64,0,0,0,29,32,0,0,77,1,3,78,71,0,42,6,78,29,0,76,0,53,60,5,66,10,10,0,83,75,80,34,66,30,68,78,55,33,0,1,
4,0,12,0,2,6,10,7,0,10,6,3,3,83,J.T.,Macklin,5,10,10,87,0,0,0,5,3,3,0,0,40,0,88,0,36,2335,0,0,93,160,40,0,0,69,18,0,41,3,3,1,72,1,1,0,82,545,87,0,59,40,40,0,0,16,17,55,67,0,34,0,0,0,0,0,0,2,0,1,1,1,0,18,79,94,0,91,47,0,0,1,0,8,40,0,0,80,47,77,59,0,0,0,18,21,6,0,73,2,3,34,46,0,9,6,70,29,0,77,0,62,37,5,59,10,10,0,70,32,33,30,64,32,51,78,76,21,0,0,
13,0,4,0,6,6,10,7,0,10,6,0,0,52,Jermaine,Johnson,5,10,10,88,0,0,0,5,1,1,0,0,40,0,79,0,37,11811,0,0,75,43,40,0,0,87,73,0,56,3,3,0,80,2,2,0,60,474,90,0,68,73,76,8,0,16,18,88,89,0,81,0,0,0,0,0,0,2,0,0,2,2,0,4,52,80,0,71,70,0,0,1,0,1,40,0,0,82,76,82,60,3,3,0,73,76,6,0,71,1,4,38,47,0,46,6,77,29,0,79,0,100,47,5,68,10,10,0,79,31,31,32,72,32,60,81,69,76,0,0,
10,0,13,0,12,10,10,4,0,10,6,3,3,40,C.J.,Wilson,8,6,10,82,0,0,0,5,3,3,0,0,40,0,83,0,82,9986,0,0,89,168,40,0,0,78,30,0,39,3,3,1,80,1,1,0,83,119,80,1,62,40,40,0,0,16,19,59,69,0,21,9,9,0,5,0,0,2,0,0,1,1,0,18,40,78,0,90,53,0,0,1,0,9,40,5,0,83,55,79,65,2,2,0,29,34,2,0,78,1,3,68,69,5,39,10,80,29,26,72,10,53,50,0,64,10,10,0,84,71,78,33,66,33,67,78,56,34,0,0,
4,0,13,0,2,10,10,4,0,10,6,3,3,40,Shane,Clay,8,6,10,85,0,3,3,5,0,0,0,0,40,0,80,0,37,11544,0,0,91,7,40,0,1,71,65,0,47,3,3,1,72,1,1,0,78,2486,90,0,60,65,67,0,0,15,20,48,64,0,34,0,0,0,0,12,0,0,0,0,1,1,0,18,40,80,0,87,49,0,0,0,0,10,40,0,12,81,61,73,49,0,0,0,65,67,4,0,69,2,3,41,51,5,45,10,67,29,26,75,10,74,35,0,85,10,10,0,73,38,33,37,68,37,70,77,66,68,0,0,
5,0,2,0,12,6,10,7,0,10,6,3,3,40,Dusty,Bell,5,10,10,80,0,3,3,5,2,2,1,1,40,0,87,0,53,3131,1,0,88,37,40,0,1,83,27,0,45,3,3,0,82,1,1,0,79,1959,86,0,59,40,40,0,0,16,21,52,51,0,20,0,0,0,0,0,0,2,0,0,1,1,0,3,40,86,0,79,48,0,0,1,0,7,40,0,0,87,57,78,58,0,0,0,26,32,0,1,71,3,3,45,47,0,12,6,73,29,0,72,0,20,44,5,65,10,10,0,79,55,50,35,59,40,58,77,55,32,0,0,
12,0,9,0,10,10,10,4,0,10,6,3,3,40,Stephen,Phillips,8,6,10,89,0,3,3,5,2,2,3,3,40,0,92,0,37,7940,0,0,94,167,40,0,1,70,23,0,41,3,3,0,79,1,1,0,78,1925,85,1,40,40,40,0,0,0,22,43,50,0,22,0,0,0,0,0,0,0,0,1,1,1,0,3,40,81,0,80,49,0,0,1,0,8,40,0,0,89,55,80,63,0,0,0,23,25,5,1,77,1,3,37,51,5,31,10,73,29,26,74,10,39,38,0,65,10,10,0,76,33,32,33,73,31,65,77,55,25,0,0,
4,0,12,0,5,6,10,7,0,10,6,3,3,40,Stephen,Love,5,10,10,89,0,0,0,5,3,3,0,0,40,0,91,0,34,1097,0,0,88,8,40,0,0,79,21,0,39,3,3,1,78,1,1,0,83,1682,84,1,40,40,40,0,0,0,23,80,79,0,18,0,0,0,0,12,0,0,0,0,1,1,0,18,40,80,0,81,73,0,0,0,0,11,40,0,12,83,53,81,49,0,0,0,21,26,2,0,77,1,3,37,49,0,4,6,73,29,0,73,0,31,39,5,65,10,10,0,77,29,30,31,73,30,81,77,85,26,0,0,
4,0,10,0,12,10,5,10,0,10,9,3,3,40,Jesse,Harrison,5,10,10,79,0,0,0,5,2,2,0,0,40,0,82,0,77,5903,0,0,71,160,40,0,0,49,78,0,75,4,4,1,57,2,2,0,68,1103,83,0,86,78,86,0,0,35,24,27,40,0,90,3,0,0,0,7,0,3,0,2,2,2,0,18,40,63,0,61,25,0,0,0,0,12,40,0,7,46,84,77,55,11,11,0,78,85,4,0,45,1,11,75,53,21,23,21,42,15,20,75,17,111,83,0,42,20,16,0,36,34,30,61,24,81,24,77,39,86,0,0,
10,0,4,0,12,10,10,4,0,10,6,3,3,50,Spencer,Gant,8,6,10,86,0,0,0,5,0,0,0,0,40,0,79,0,38,7962,0,0,77,10,40,0,0,84,72,0,55,3,3,0,79,2,2,0,59,963,87,1,68,71,74,0,0,15,25,85,85,0,76,0,0,0,5,0,0,0,0,0,1,1,0,4,49,77,0,67,69,0,0,1,0,2,40,5,0,80,76,78,55,1,1,0,72,73,1,0,70,2,4,41,47,5,31,10,75,29,26,78,10,72,50,0,70,10,10,0,77,34,34,34,74,33,59,80,70,73,0,0,
9,0,12,0,1,10,10,4,0,10,6,3,3,40,Mike,Sullivan,8,6,10,83,0,0,0,5,2,2,0,0,40,0,90,0,36,10932,0,0,91,136,40,0,0,68,24,0,42,3,3,0,71,1,1,0,82,908,80,1,42,40,40,0,0,16,26,54,56,0,25,9,9,0,0,10,0,0,0,2,1,1,0,3,40,81,0,76,46,0,0,0,0,9,40,0,10,70,51,73,68,0,0,0,24,25,6,0,69,3,3,33,46,5,42,10,68,29,26,73,10,55,34,0,61,10,10,0,64,33,30,31,40,30,48,77,73,26,0,0,
9,0,12,0,5,10,10,4,0,10,6,3,3,44,Steve,Taylor,8,6,10,86,0,0,0,5,0,0,1,1,40,0,75,0,36,10934,0,0,77,10,40,0,0,71,75,0,44,3,3,0,70,2,2,0,71,1792,84,1,59,74,74,0,0,1,27,77,71,0,79,15,15,0,0,10,0,0,0,0,1,1,0,4,46,82,0,73,65,0,0,0,0,3,40,0,10,71,78,75,62,0,0,0,74,74,2,0,75,3,4,33,48,5,42,10,68,29,26,74,10,92,53,0,64,10,10,0,69,21,21,25,62,28,83,79,63,73,0,0,
4,0,12,0,8,4,2,8,0,0,3,15,15,40,Matt,Williams,4,3,2,72,0,0,0,5,0,0,0,0,40,0,85,0,39,8977,0,0,68,187,46,0,0,72,80,0,41,4,4,1,59,2,2,0,74,1749,86,0,40,80,80,0,0,3,28,77,67,0,72,8,8,1,5,0,0,0,0,1,2,2,0,18,40,44,0,40,76,0,0,0,1,13,40,5,0,68,77,74,69,1,1,0,80,80,1,0,47,3,6,42,30,21,35,21,61,8,20,77,16,105,54,0,40,10,16,0,70,28,33,35,68,34,62,75,54,80,0,0,
5,0,12,0,8,10,5,10,0,10,9,3,3,40,Mark,Oliver,5,10,10,77,0,0,0,5,0,0,0,0,40,0,76,0,71,12288,0,0,69,183,40,0,0,36,22,0,80,4,4,0,50,2,2,0,61,1258,83,0,82,65,65,3,0,31,29,27,40,0,65,13,13,0,0,0,0,3,0,2,1,1,0,8,40,70,0,50,25,0,0,1,0,2,40,0,0,36,82,76,42,11,11,0,22,20,3,0,38,1,10,89,43,21,48,21,33,15,20,73,17,127,75,0,40,20,16,0,34,53,53,82,37,76,35,79,31,21,0,0,
10,0,7,0,11,6,10,7,0,10,6,3,3,47,Matt,Mann,8,10,10,79,0,0,0,5,0,0,0,0,40,0,93,0,81,10833,0,0,91,212,42,0,0,60,39,0,46,3,3,1,69,1,1,0,88,1044,79,0,62,40,44,0,0,1,30,78,70,0,35,10,10,0,0,0,0,2,0,0,1,1,0,18,40,87,0,81,90,0,0,1,0,14,41,0,0,62,51,77,60,4,4,0,39,43,2,0,62,3,16,83,86,0,42,6,52,29,0,73,0,63,61,8,55,10,10,0,74,81,84,33,79,34,85,75,60,44,0,0,
4,0,10,0,9,10,5,10,0,10,9,0,0,40,T.J.,Lewis,5,10,10,83,0,0,0,5,3,3,0,0,40,0,90,0,76,2304,0,0,72,180,40,0,0,41,33,0,80,4,4,0,56,2,2,0,54,927,91,0,70,68,66,0,0,16,31,37,40,0,63,0,0,0,0,0,0,0,0,1,1,1,0,8,40,70,0,46,31,0,0,0,0,3,40,0,0,39,78,75,41,1,1,0,34,23,5,0,44,1,10,88,42,21,9,21,35,15,20,75,17,126,71,0,43,20,16,0,27,52,58,89,25,75,19,79,30,23,0,0,
9,0,3,0,13,10,10,4,0,10,6,3,3,40,Ben,Johnson,8,6,10,87,0,0,0,5,0,0,1,1,40,0,97,0,37,9504,0,0,87,108,40,0,0,79,21,0,36,3,3,0,63,1,1,0,78,900,85,0,57,40,40,0,0,31,32,48,63,0,31,0,0,0,5,9,0,3,0,0,1,1,0,3,40,92,0,91,47,0,0,0,0,10,40,5,9,91,47,74,42,3,3,0,20,19,0,0,81,1,3,32,45,5,37,10,82,29,26,72,10,53,39,0,63,10,10,0,78,30,30,31,63,31,50,76,78,20,0,0,
10,0,0,0,12,4,2,8,0,0,3,18,18,40,Marcus,Goodman,4,3,2,65,0,0,0,5,0,0,0,0,40,0,92,0,38,7,1,0,64,31,40,0,0,38,85,0,38,4,4,0,40,2,2,0,58,607,90,0,41,85,84,0,0,23,33,42,45,0,84,15,15,1,0,0,0,0,0,1,2,2,0,5,40,54,0,40,40,0,0,1,1,1,40,0,0,33,85,81,68,0,0,0,84,84,1,1,29,5,5,36,30,21,0,21,15,8,20,78,16,130,50,0,41,10,16,0,55,33,31,33,59,33,56,80,45,84,0,1,
13,0,5,0,4,8,10,5,0,10,7,0,0,40,Mike,Johnson,7,8,7,92,0,1,1,5,0,0,0,0,46,0,88,0,71,9536,0,0,90,167,40,0,0,59,49,0,81,3,3,0,78,1,1,0,84,2586,91,0,90,49,41,0,0,7,34,35,40,0,25,0,0,0,0,0,0,3,0,2,1,1,0,14,41,81,0,76,31,0,0,1,0,1,40,0,0,58,64,81,50,1,1,0,49,41,3,1,64,3,18,79,79,0,37,6,80,30,0,74,0,35,74,0,51,0,1,0,65,67,76,62,42,61,37,79,32,41,0,0,
11,0,10,0,5,5,10,7,0,10,6,0,0,85,Maurice,Webster,5,10,10,85,0,0,0,5,1,1,0,0,40,0,67,0,35,1106,0,0,60,45,40,0,0,46,44,0,28,3,3,0,45,1,1,0,64,2465,86,0,52,44,44,0,1,36,35,50,61,0,21,0,0,0,0,10,0,3,0,0,1,1,0,0,92,70,0,52,63,0,0,0,0,1,40,0,10,46,58,79,61,6,4,0,44,44,0,0,28,1,0,22,45,4,4,6,41,29,0,77,0,39,41,5,45,10,10,0,64,16,24,24,66,22,56,78,68,43,0,1,
10,0,2,0,5,10,10,4,0,10,6,3,3,79,Kevin,Brooks,8,6,10,84,0,0,0,5,2,2,0,0,40,0,85,0,62,1166,0,0,90,97,40,0,0,78,31,0,53,3,3,1,80,1,1,0,85,2424,82,1,53,40,40,0,0,35,36,68,72,0,22,0,0,0,5,12,0,3,0,0,1,1,0,18,91,78,0,90,55,0,0,0,0,15,40,5,12,85,60,82,61,2,2,0,31,35,4,0,80,3,3,51,49,5,4,10,81,29,26,71,10,18,47,0,63,10,10,0,87,70,60,42,68,41,70,75,86,35,0,1,
12,0,9,0,5,10,10,4,0,10,6,3,3,78,Robert,Mooney,8,6,10,81,0,0,0,5,3,3,0,0,40,0,88,0,83,3126,0,0,89,201,40,0,1,83,26,0,44,3,3,1,79,1,1,0,77,2406,83,1,70,40,40,0,0,35,37,57,49,0,16,0,0,0,0,0,0,3,0,0,1,1,0,18,91,87,0,85,47,0,0,1,0,16,40,0,0,86,56,77,58,0,0,0,25,32,2,0,73,1,3,90,75,5,12,10,72,29,26,71,10,25,62,0,65,10,10,0,76,87,84,34,53,35,61,75,62,33,0,0,
8,0,4,0,0,10,10,4,0,10,6,3,3,40,Laurence,Allen,8,6,10,82,0,0,0,5,0,0,0,0,40,0,84,0,38,10838,0,0,89,46,40,0,0,75,28,0,45,3,3,0,73,1,1,0,83,2224,84,0,41,40,40,0,0,9,38,46,66,0,30,9,9,0,5,0,0,3,0,0,1,1,0,3,40,80,0,90,46,0,0,1,0,11,40,5,0,80,48,75,62,0,0,0,27,27,4,0,77,2,3,41,50,5,42,10,85,29,26,74,10,53,36,0,75,10,10,0,71,38,34,35,52,35,47,75,61,26,0,0,
11,0,4,0,2,10,10,4,0,10,6,3,3,40,Kyle,Tyler,8,6,10,81,0,0,0,5,1,1,0,0,40,0,94,0,57,2362,0,0,85,161,40,0,0,79,68,0,52,3,3,1,79,1,1,0,77,2171,83,1,63,67,64,0,0,1,39,80,63,0,73,0,0,0,0,12,0,2,0,0,1,1,0,18,40,82,0,89,87,0,0,0,0,17,40,0,12,75,70,79,60,0,0,0,68,65,3,1,70,1,3,49,49,5,9,10,78,29,26,72,10,52,47,0,64,10,10,0,91,61,55,39,76,41,72,75,80,64,0,0,
12,0,11,0,5,6,10,7,0,10,6,3,3,40,Mike,Davis,5,10,10,89,0,0,0,5,2,2,0,0,40,0,92,0,36,2135,0,0,94,10,40,0,0,70,23,0,40,3,3,0,79,1,1,0,79,2076,84,0,40,40,40,0,0,7,40,42,52,0,20,10,10,0,0,10,0,3,0,1,1,1,0,3,40,80,0,80,47,0,0,0,0,12,40,0,10,88,55,80,63,0,0,0,23,28,5,0,77,1,3,37,52,0,8,6,72,29,0,75,0,42,40,5,64,10,10,0,77,33,33,32,72,30,62,75,57,27,0,0,
4,0,13,0,5,8,10,5,0,10,7,3,3,63,Bryan,Barrow,7,8,7,84,0,0,0,5,2,2,0,0,40,0,82,0,48,2073,0,0,87,212,40,0,0,58,40,0,18,3,3,0,68,2,2,0,81,1983,89,0,51,40,41,0,0,1,41,69,80,0,36,10,10,0,5,0,0,2,0,1,1,1,0,1,65,83,0,78,68,0,0,1,0,2,40,5,0,65,60,79,71,1,1,0,40,40,1,0,68,2,1,16,43,0,8,6,58,30,0,74,0,30,42,0,60,0,1,0,73,24,19,21,84,33,81,75,85,41,0,0,
12,0,10,0,9,6,10,7,0,10,6,3,3,40,Freddie,Jackson,5,10,10,83,0,0,0,5,1,1,0,0,40,0,91,0,82,1085,0,0,94,9,40,0,0,57,46,0,41,3,3,1,62,2,2,0,92,1981,80,0,59,46,45,0,0,16,42,69,71,0,49,12,12,0,0,0,0,2,0,2,2,2,0,18,40,82,0,64,76,0,0,1,0,18,40,0,0,62,55,76,57,10,10,0,46,45,1,0,70,1,1,86,75,0,4,6,59,29,0,73,0,53,45,5,90,10,10,0,71,79,80,36,84,34,84,75,90,45,0,0,
10,0,12,0,4,6,10,7,0,10,6,3,3,40,Josh,Jackson,5,10,10,80,0,0,0,4,1,1,0,0,40,0,90,0,36,97,0,0,80,170,40,0,0,76,27,0,39,3,3,0,81,1,1,0,78,1938,85,1,51,40,40,0,0,0,43,66,66,0,22,10,10,0,0,4,0,2,0,0,1,1,0,3,40,77,0,95,69,0,0,1,0,13,40,0,4,80,48,77,67,10,10,0,27,24,3,0,75,3,3,35,51,0,0,6,87,29,0,73,0,31,38,5,73,10,10,0,73,33,30,31,54,31,51,75,54,24,0,0,
8,0,12,0,4,4,2,8,0,0,3,3,3,40,Ray,Beck,4,3,2,76,0,0,0,4,0,0,0,0,40,0,84,0,80,8750,0,0,79,49,40,0,1,51,28,0,79,4,4,0,40,2,2,0,70,1814,88,0,83,67,68,0,0,16,44,17,40,0,63,0,0,0,0,0,0,2,0,1,2,2,0,8,40,70,0,40,30,0,0,1,0,4,40,0,0,50,82,81,40,10,10,0,27,29,2,0,49,5,11,82,40,21,34,21,46,8,20,78,16,84,79,0,56,10,16,0,26,52,58,70,35,84,38,78,15,29,0,0,
4,0,8,0,12,6,10,7,0,10,6,3,3,40,Ryan,Gary,5,10,10,85,0,0,0,4,3,3,0,0,40,0,89,0,55,3089,0,0,87,39,40,0,0,78,72,0,49,3,3,1,77,1,1,0,76,1497,83,1,62,62,60,0,0,5,45,76,70,0,75,13,13,0,0,0,0,0,0,0,1,1,0,18,40,87,0,85,91,0,0,1,0,19,40,0,0,80,62,78,49,0,0,0,62,59,3,0,74,3,3,46,48,0,12,6,69,29,0,78,0,60,46,5,74,10,10,0,82,58,53,37,87,40,70,75,55,62,0,0,
